ETF,Underlying,Leverage,cagr_port_hist,LevType
AAPU,AAPL,2.0,0.03496973237504819,2x
AMUU,AMD,2.0,0.056471978032546444,2x
AMZU,AMZN,2.0,0.012199845888929861,2x
AVL,AVGO,2.0,-0.004684464176101244,2x
BITX,BTC,2.0,0.0717163145806996,2x
BOEU,BA,2.0,-0.017813162783287817,2x
BRKU,BRK-B,2.0,0.05208061477252701,2x
BULU,BULL,2.0,-0.0009310981074289737,2x
CSCL,CSCO,2.0,0.04625175581989294,2x
ELIL,LLY,2.0,0.03881253386496675,2x
ETHU,ETH,2.0,0.11844187151406471,2x
FRDU,F,2.0,0.032481655283282285,2x
GGLL,GOOGL,2.0,0.052592057072767595,2x
GMEU,GME,2.0,-0.1267247982327938,2x
LMTL,LMT,2.0,0.042324317430962655,2x
METU,META,2.0,0.05621415093376325,2x
MUU,MU,2.0,0.0375665706933237,2x
MSFU,MSFT,2.0,0.06176227465658224,2x
MSTX,MSTR,2.0,0.061073970755543217,2x
NVDU,NVDA,2.0,0.09974467271868237,2x
NFXL,NFLX,2.0,0.052323255258271306,2x
PLTU,PLTR,2.0,0.04778408002308088,2x
PALU,PANW,2.0,0.030894650846799987,2x
QCMU,QCOM,2.0,-0.056781661925082605,2x
SHPU,SHOP,2.0,-0.01220639435630888,2x
TSMX,TSM,2.0,-0.19642073412365113,2x
TSLL,TSLA,2.0,-0.02488861140438492,2x
XOMX,XOM,2.0,0.005333729371443274,2x
XXRP,XRP,2.0,0.309372787863035,2x
QYLD,QQQ,1.0,0.05667244027405305,CC
QYLG,QQQ,1.0,0.03920911869848376,CC
QQQX,QQQ,1.0,0.035959585926079285,CC
JEPQ,QQQ,1.0,0.044754226622608195,CC
XYLD,SPY,1.0,0.027511845803211088,CC
XYLG,SPY,1.0,0.025390376427784966,CC
JEPI,SPY,1.0,0.06212183366074697,CC
SPYI,SPY,1.0,0.044867583152368384,CC
RYLD,IWM,1.0,-0.21104750596555533,CC
ABNY,ABNB,1.0,-0.1332247240269262,CC
AIYY,AI,1.0,0.21731469789388536,CC
AMDY,AMD,1.0,-0.049032355942540184,CC
AMZY,AMZN,1.0,0.019651480739646843,CC
APLY,AAPL,1.0,0.04447411722034311,CC
BABO,BABA,1.0,0.25263942128978445,CC
BRKC,BRK-B,1.0,0.02549014063454491,CC
CONY,COIN,1.0,0.25579080269800314,CC
CRCO,CRCL,1.0,-0.3468212059232637,CC
CVNY,CVNA,1.0,0.06733496930436078,CC
DISO,DIS,1.0,-0.17154568550012161,CC
DRAY,DKNG,1.0,-0.09545576533422406,CC
FBY,META,1.0,0.1036878684450071,CC
GMEY,GME,1.0,-0.13137515402846456,CC
GOOY,GOOGL,1.0,0.15425521883962867,CC
HIYY,HIMS,1.0,-0.2940295027352233,CC
HOOY,HOOD,1.0,0.6525744481459654,CC
JPMO,JPM,1.0,0.1598115091848229,CC
MARO,MARA,1.0,0.09959060684123,CC
MRNY,MRNA,1.0,0.0743960544034592,CC
MSFO,MSFT,1.0,-0.059368031836286694,CC
MSTY,MSTR,1.0,0.22000366754270373,CC
NFLY,NFLX,1.0,0.10650791924951353,CC
NVDY,NVDA,1.0,0.134785768499871,CC
PLTY,PLTR,1.0,0.4805491077111983,CC
PYPY,PYPL,1.0,-0.05736852011899363,CC
RBLY,RBLX,1.0,-0.1241920894119336,CC
RDYY,RDDT,1.0,0.172307048888257,CC
SMCY,SMCI,1.0,0.04433896074482724,CC
SNOY,SNOW,1.0,0.10220438839610546,CC
TSLY,TSLA,1.0,0.04198298746418905,CC
TSMY,TSM,1.0,0.1511065988803888,CC
XOMO,XOM,1.0,-0.024651993502307623,CC
XYZY,XYZ,1.0,0.05776840741662159,CC
