Underlying,true_net_exposure_usd,proposed_net_exposure_usd,gap_net_exposure_usd,abs_gap_net_exposure_usd,proposed_long_usd,proposed_etf_short_usd,proposed_etf_usd_effective,true_underlying_notional_live,true_etf_usd_effective_live,proposed_near_zero,live_near_zero
BRK B,24293.719999999998,0.009999999999763531,-24293.71,24293.71,2287.58,1633.98,-2287.57,26517.489999999998,-2223.77,True,False
AMD,1376.12,0.01999999999998181,-1376.1,1376.1,2614.38,1307.18,-2614.36,2454.12,-1078.0,True,False
SNOW,1058.2600000000002,0.009999999999763531,-1058.2500000000005,1058.2500000000005,2287.58,1633.98,-2287.57,2019.69,-961.43,True,False
XOM,861.56,0.0,-861.56,861.56,980.39,980.39,-980.39,861.56,0.0,True,False
MSTR,363.35000000000036,0.019999999999527063,-363.33000000000084,363.33000000000084,4575.16,3267.96,-4575.14,4679.360000000001,-4316.01,True,False
ETHA,245.51999999999998,0.01999999999998181,-245.5,245.5,2614.38,1307.18,-2614.36,2433.6,-2188.08,True,False
GXRP,107.51999999999998,0.009999999999990905,-107.50999999999999,107.50999999999999,1307.19,653.59,-1307.18,1150.8,-1043.28,True,False
IBIT,107.4399999999996,0.01999999999998181,-107.41999999999962,107.41999999999962,2614.38,1307.18,-2614.36,2469.12,-2361.6800000000003,True,False
ASTS,98.08999999999992,0.009999999999990905,-98.07999999999993,98.07999999999993,1307.19,653.59,-1307.18,1171.43,-1073.3400000000001,True,False
IREN,88.27999999999997,0.009999999999990905,-88.26999999999998,88.26999999999998,1307.19,653.59,-1307.18,1272.32,-1184.04,True,False
UPST,83.73000000000002,0.009999999999990905,-83.72000000000003,83.72000000000003,1307.19,653.59,-1307.18,1265.25,-1181.52,True,False
BLSH,63.820000000000164,0.009999999999990905,-63.81000000000017,63.81000000000017,1307.19,653.59,-1307.18,1248.64,-1184.82,True,False
OPEN,51.51999999999998,0.009999999999990905,-51.50999999999999,51.50999999999999,1307.19,653.59,-1307.18,1339.52,-1288.0,True,False
RDDT,46.520000000000095,0.0,-46.520000000000095,46.520000000000095,980.39,980.39,-980.39,1008.44,-961.92,True,False
GLXY,40.81000000000017,0.009999999999990905,-40.80000000000018,40.80000000000018,1307.19,653.59,-1307.18,1244.1100000000001,-1203.3,True,False
RBLX,38.020000000000095,0.0,-38.020000000000095,38.020000000000095,980.39,980.39,-980.39,950.82,-912.8,True,False
ASML,35.6400000000001,0.009999999999990905,-35.63000000000011,35.63000000000011,1307.19,653.59,-1307.18,1193.16,-1157.52,True,False
HOOD,35.37999999999988,0.0,-35.37999999999988,35.37999999999988,1960.78,1960.78,-1960.78,1849.12,-1813.74,True,False
CSCO,32.220000000000255,0.009999999999990905,-32.210000000000264,32.210000000000264,1307.19,653.59,-1307.18,1256.3000000000002,-1224.08,True,False
ABNB,26.360000000000127,0.0,-26.360000000000127,26.360000000000127,980.39,980.39,-980.39,966.5600000000001,-940.1999999999999,True,False
MARA,18.500000000000227,0.0,-18.500000000000227,18.500000000000227,980.39,980.39,-980.39,976.6600000000001,-958.1599999999999,True,True
XYZ,15.88000000000011,0.0,-15.88000000000011,15.88000000000011,980.39,980.39,-980.39,985.1800000000001,-969.3,True,True
PLTR,15.379999999999654,0.009999999999763531,-15.36999999999989,15.36999999999989,2287.58,1633.98,-2287.57,2121.48,-2106.1000000000004,True,True
CMG,14.799999999999955,0.009999999999990905,-14.789999999999964,14.789999999999964,1307.19,653.59,-1307.18,1289.6399999999999,-1274.84,True,True
TEM,0.9300000000000637,0.009999999999990905,-0.9200000000000728,0.9200000000000728,1307.19,653.59,-1307.18,1295.23,-1294.3,True,True
AVGO,0.0,0.009999999999990905,0.009999999999990905,0.009999999999990905,1307.19,653.59,-1307.18,0.0,0.0,True,True
CLS,0.0,0.009999999999990905,0.009999999999990905,0.009999999999990905,1307.19,653.59,-1307.18,0.0,0.0,True,True
SNAP,0.0,0.009999999999990905,0.009999999999990905,0.009999999999990905,1307.19,653.59,-1307.18,0.0,0.0,True,True
KLAC,0.0,0.009999999999990905,0.009999999999990905,0.009999999999990905,1307.19,653.59,-1307.18,0.0,0.0,True,True
AI,0.0,0.0,0.0,0.0,980.39,980.39,-980.39,0.0,0.0,True,True
BA,0.0,0.01999999999998181,0.01999999999998181,0.01999999999998181,2614.38,1307.18,-2614.36,0.0,0.0,True,True
CVNA,0.0,0.0,0.0,0.0,980.39,980.39,-980.39,0.0,0.0,True,True
CELH,0.0,0.009999999999990905,0.009999999999990905,0.009999999999990905,1307.19,653.59,-1307.18,0.0,0.0,True,True
PYPL,-1.0900000000000318,0.0,1.0900000000000318,1.0900000000000318,980.39,980.39,-980.39,932.48,-933.57,True,True
CRWV,-17.779999999999973,0.009999999999990905,17.789999999999964,17.789999999999964,1307.19,653.59,-1307.18,1234.72,-1252.5,True,True
GOOGL,-17.86999999999989,0.01999999999998181,17.889999999999873,17.889999999999873,3594.77,2287.57,-3594.75,3576.1000000000004,-3593.9700000000003,True,True
DKNG,-21.259999999999764,0.009999999999763531,21.269999999999527,21.269999999999527,2287.58,1633.98,-2287.57,2204.54,-2225.7999999999997,True,True
CRM,-31.799999999999955,0.009999999999990905,31.809999999999945,31.809999999999945,1307.19,653.59,-1307.18,1306.2,-1338.0,True,False
BABA,-32.87999999999988,0.0,32.87999999999988,32.87999999999988,980.39,980.39,-980.39,925.6200000000001,-958.5,True,False
QCOM,-34.649999999999864,0.009999999999990905,34.659999999999854,34.659999999999854,1307.19,653.59,-1307.18,1272.39,-1307.04,True,False
ARM,-34.75999999999999,0.0,34.75999999999999,34.75999999999999,980.39,980.39,-980.39,900.24,-935.0,True,False
MU,-53.26999999999998,0.009999999999990905,53.27999999999997,53.27999999999997,1307.19,653.59,-1307.18,980.73,-1034.0,True,False
TSLA,-56.47999999999956,0.030000000000654836,56.51000000000022,56.51000000000022,5882.35,3921.55,-5882.32,4347.5,-4403.98,True,False
PANW,-75.98000000000002,0.01999999999998181,76.0,76.0,2614.38,1307.18,-2614.36,2680.2999999999997,-2756.2799999999997,True,False
CEG,-96.83000000000004,0.009999999999990905,96.84000000000003,96.84000000000003,1307.19,653.59,-1307.18,969.4499999999999,-1066.28,True,False
ALAB,-101.22000000000003,0.009999999999990905,101.23000000000002,101.23000000000002,1307.19,653.59,-1307.18,1252.32,-1353.54,True,False
APP,-115.01999999999975,0.009999999999990905,115.02999999999975,115.02999999999975,1307.19,653.59,-1307.18,1237.38,-1352.3999999999999,True,False
AMZN,-123.02000000000044,0.010000000000218279,123.03000000000065,123.03000000000065,3267.9700000000003,2614.37,-3267.96,3191.24,-3314.26,True,False
LMT,-143.57999999999993,0.009999999999990905,143.58999999999992,143.58999999999992,1307.19,653.59,-1307.18,1034.18,-1177.76,True,False
NFLX,-162.72000000000025,0.019999999999527063,162.73999999999978,162.73999999999978,4575.16,3267.96,-4575.14,4342.5599999999995,-4505.28,True,False
UNH,-213.26999999999998,0.009999999999990905,213.27999999999997,213.27999999999997,1307.19,653.59,-1307.18,1041.33,-1254.6,True,False
LLY,-238.20000000000005,0.009999999999990905,238.21000000000004,238.21000000000004,1307.19,653.59,-1307.18,1088.44,-1326.64,True,False
TSM,-295.1400000000001,0.0,295.1400000000001,295.1400000000001,980.39,980.39,-980.39,637.06,-932.2,True,False
AAPL,-343.8599999999997,0.009999999999763531,343.86999999999944,343.86999999999944,2287.58,1633.98,-2287.57,1808.5900000000001,-2152.45,True,False
COIN,-379.0999999999999,0.010000000000218279,379.1100000000001,379.1100000000001,3267.9700000000003,2614.37,-3267.96,2682.02,-3061.12,True,False
NVDA,-382.3699999999999,0.02999999999974534,382.39999999999964,382.39999999999964,4901.96,2941.16,-4901.93,4253.39,-4635.76,True,False
MSFT,-742.1699999999996,0.019999999999527063,742.1899999999991,742.1899999999991,4575.16,3267.96,-4575.14,3821.28,-4563.45,True,False
SPY,-1033.5699999999997,0.0,1033.5699999999997,1033.5699999999997,3921.56,3921.56,-3921.56,2757.96,-3791.5299999999997,True,False
META,-1177.3699999999997,0.010000000000218279,1177.3799999999999,1177.3799999999999,3267.9700000000003,2614.37,-3267.96,1937.28,-3114.6499999999996,True,False
BKNG,-1298.6200000000001,0.009999999999990905,1298.63,1298.63,1307.19,653.59,-1307.18,0.0,-1298.6200000000001,True,False
QQQ,-1367.4300000000003,0.0,1367.4300000000003,1367.4300000000003,3921.56,3921.56,-3921.56,2481.04,-3848.4700000000003,True,False
